S05S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-01-01-G\LM_EXBO\2.9FFO_Jet      1.83e-08    794.0   1.22e-05
020-02-03-Lo\LM_EOBN\14.5DFO_Jet    1.67e-08    774.6   1.22e-05
020-02-03-Lo\LM_EOBN\7.7DFO_Jet     1.79e-07    774.6   1.24e-05
020-02-03-Lo\LM_EOBN\2.9FFO_Jet     1.84e-07    774.6   1.26e-05
020-05-02-L\ME_EXBN\14.5DFX_Jet     7.27e-10    758.8   1.26e-05
020-05-02-L\ME_EXBN\14.5DFO_Jet     1.45e-09    758.8   1.26e-05
020-05-02-L\ME_EXBN\7.7DFX_Jet      7.78e-09    758.8   1.26e-05
020-05-02-L\ME_EXBN\7.7DFO_Jet      1.55e-08    758.8   1.26e-05
020-05-02-L\ME_EXBN\2.9FFX_Jet      8.03e-09    758.8   1.26e-05
020-05-02-L\ME_EXBN\2.9FFO_Jet      1.60e-08    758.8   1.26e-05
020-05-02-L\ME_EOBN\14.5DFO_Jet     1.43e-07    748.9   1.28e-05
020-05-02-L\ME_EOBN\7.7DFO_Jet      1.53e-06    748.9   1.43e-05
020-05-02-L\ME_EOBN\2.9FFO_Jet      1.58e-06    748.9   1.59e-05
020-05-01-G\ME_EOBX\2.9FFO_Jet      6.02e-10    717.5   1.59e-05
013-01-N2-G\SM_EXBX\14.5DFX_Jet     1.46e-08    697.0   1.59e-05
013-01-N2-G\SM_EXBX\14.5DFO_Jet     6.57e-12    697.0   1.59e-05
020-01-02-L\LM_EXBN\14.5DFX_Jet     2.14e-10    682.3   1.59e-05
020-01-02-L\LM_EXBN\14.5DFO_Jet     4.25e-10    682.3   1.59e-05
020-01-02-L\LM_EXBN\7.7DFX_Jet      2.29e-09    682.3   1.59e-05
020-01-02-L\LM_EXBN\7.7DFO_Jet      4.55e-09    682.3   1.59e-05
020-01-02-L\LM_EXBN\2.9FFX_Jet      2.36e-09    682.3   1.59e-05
020-01-02-L\LM_EXBN\2.9FFO_Jet      4.70e-09    682.3   1.59e-05
020-05-02-L\LM_EXBN\14.5DFX_Jet     3.61e-10    680.8   1.59e-05
020-05-02-L\LM_EXBN\14.5DFO_Jet     7.19e-10    680.8   1.59e-05
020-05-02-L\LM_EXBN\7.7DFX_Jet      3.87e-09    680.8   1.59e-05
020-05-02-L\LM_EXBN\7.7DFO_Jet      7.69e-09    680.8   1.59e-05
020-05-02-L\LM_EXBN\2.9FFX_Jet      3.99e-09    680.8   1.59e-05
020-05-02-L\LM_EXBN\2.9FFO_Jet      7.94e-09    680.8   1.59e-05
020-01-01-G\LM_EOBX\14.5DFO_Jet     8.26e-10    680.5   1.59e-05
020-05-02-L\LM_EOBN\14.5DFO_Jet     7.12e-08    669.9   1.60e-05
020-05-02-L\LM_EOBN\7.7DFO_Jet      7.62e-07    669.9   1.68e-05
020-05-02-L\LM_EOBN\2.9FFO_Jet      7.86e-07    669.9   1.76e-05
020-01-01-G\LM_EOBX\7.7DFO_Jet      8.84e-09    665.3   1.76e-05
020-01-01-G\LM_EOBX\2.9FFO_Jet      9.12e-09    654.7   1.76e-05
020-01-01-G\SM_EOBX\14.5DFO_Jet     6.76e-10    619.9   1.76e-05
020-01-01-G\LM_EOBO\14.5DFO_Jet     1.64e-07    608.0   1.77e-05
020-05-01-G\ME_EOBO\14.5DFO_Jet     1.08e-08    606.4   1.78e-05
020-01-01-G\LM_EOBO\7.7DFO_Jet      1.76e-06    595.9   1.95e-05
020-01-01-G\LM_EOBO\2.9FFO_Jet      1.82e-06    586.6   2.13e-05
020-05-01-G\ME_EOBO\7.7DFO_Jet      1.16e-07    573.1   2.15e-05
013-01-C2-G\SM_EXBX\14.5DFX_Jet     1.62e-08    558.0   2.15e-05
013-01-C2-G\SM_EXBX\14.5DFO_Jet     7.28e-12    558.0   2.15e-05
020-01-02-L\LM_EOBN\14.5DFO_Jet     4.21e-08    554.0   2.15e-05
020-01-02-L\LM_EOBN\7.7DFO_Jet      4.51e-07    554.0   2.20e-05
020-01-02-L\LM_EOBN\2.9FFO_Jet      4.65e-07    554.0   2.24e-05
020-02-02-G\LM_EXBO\14.5DFO_Jet     2.14e-10    515.3   2.24e-05
013-01-N1-G\ME_EOBX\14.5DFO_Jet     1.57e-09    494.1   2.24e-05
020-02-02-G\LM_EXBO\7.7DFO_Jet      2.29e-09    488.7   2.24e-05
020-05-01-G\ME_EOBO\2.9FFO_Jet      1.20e-07    481.9   2.25e-05
013-01-N2-G\ME_EOBX\14.5DFO_Jet     1.40e-09    469.3   2.26e-05
013-01-C2-G\ME_EOBX\14.5DFO_Jet     1.53e-09    468.6   2.26e-05
020-02-02-G\LM_EOBO\14.5DFO_Jet     2.12e-08    468.2   2.26e-05
013-01-C1-G\ME_EOBX\14.5DFO_Jet     1.42e-09    459.2   2.26e-05
013-01-N1-G\SM_EXBO\14.5DFO_Jet     1.49e-09    458.4   2.26e-05
013-01-N1-G\ME_EOBO\14.5DFO_Jet     3.13e-07    454.1   2.29e-05
020-02-01-Li\ME_EOBN\14.5DFO_Jet    7.13e-07    452.5   2.36e-05
020-02-01-Li\ME_EOBN\7.7DFO_Jet     7.63e-06    452.5   3.12e-05
020-02-01-Li\ME_EOBN\2.9FFO_Jet     7.87e-06    452.5   3.91e-05
013-01-N1-G\ME_EOBX\7.7DFO_Jet      1.69e-08    448.2   3.91e-05
020-02-02-G\LM_EOBO\7.7DFO_Jet      2.27e-07    445.0   3.93e-05
013-01-N2-G\ME_EOBO\14.5DFO_Jet     2.78e-07    432.2   3.96e-05
013-01-C2-G\ME_EOBO\14.5DFO_Jet     3.05e-07    431.6   3.99e-05
013-01-N2-G\ME_EOBX\7.7DFO_Jet      1.50e-08    427.5   3.99e-05
013-01-C2-G\ME_EOBX\7.7DFO_Jet      1.64e-08    427.0   4.00e-05
020-05-01-G\MA_EXBX\14.5DFX_Jet     1.59e-10    424.2   4.00e-05
020-05-01-G\MA_EXBX\14.5DFO_Jet     7.93e-12    424.2   4.00e-05
013-01-C1-G\ME_EOBO\14.5DFO_Jet     2.83e-07    423.3   4.02e-05
013-01-C1-G\ME_EOBX\7.7DFO_Jet      1.52e-08    419.2   4.03e-05
020-05-01-G\MA_EXBX\7.7DFX_Jet      1.71e-09    413.7   4.03e-05
020-05-01-G\MA_EXBX\7.7DFO_Jet      8.49e-11    413.7   4.03e-05
013-01-N1-G\ME_EOBO\7.7DFO_Jet      3.36e-06    413.6   4.36e-05
013-01-N1-G\ME_EOBX\2.9FFO_Jet      1.74e-08    409.2   4.36e-05
020-05-01-G\MA_EXBO\14.5DFO_Jet     1.58e-09    404.8   4.36e-05
020-05-01-G\MA_EXBX\2.9FFX_Jet      1.76e-09    404.1   4.36e-05
020-05-01-G\MA_EXBX\2.9FFO_Jet      8.76e-11    404.1   4.36e-05
020-05-01-G\MA_EXBO\7.7DFO_Jet      1.69e-08    395.7   4.37e-05
013-01-N2-G\ME_EOBO\7.7DFO_Jet      2.98e-06    395.3   4.66e-05
013-01-C2-G\ME_EOBO\7.7DFO_Jet      3.26e-06    394.9   4.99e-05
013-01-N2-G\ME_EOBX\2.9FFO_Jet      1.55e-08    390.7   4.99e-05
013-01-C2-G\ME_EOBX\2.9FFO_Jet      1.69e-08    390.4   4.99e-05
013-01-C1-G\ME_EOBO\7.7DFO_Jet      3.03e-06    388.0   5.30e-05
013-01-C2-G\LM_EOBX\14.5DFO_Jet     9.73e-10    387.0   5.30e-05
020-05-01-G\MA_EXBO\2.9FFO_Jet      1.74e-08    386.7   5.30e-05
020-02-01-Li\LM_EOBN\14.5DFO_Jet    3.87e-07    386.7   5.34e-05
020-02-01-Li\LM_EOBN\7.7DFO_Jet     4.14e-06    386.7   5.75e-05
020-02-01-Li\LM_EOBN\2.9FFO_Jet     4.28e-06    386.7   6.18e-05
013-01-C1-G\ME_EOBX\2.9FFO_Jet      1.57e-08    383.7   6.18e-05
013-01-N1-G\ME_EOBO\2.9FFO_Jet      3.46e-06    379.1   6.53e-05
020-02-02-G\LM_EXBO\2.9FFO_Jet      2.36e-09    376.6   6.53e-05
013-01-N1-G\LM_EOBX\14.5DFO_Jet     9.68e-10    370.0   6.53e-05
013-01-C2-G\LM_EOBO\14.5DFO_Jet     1.94e-07    367.7   6.55e-05
013-01-N2-G\LM_EOBX\14.5DFO_Jet     8.65e-10    364.8   6.55e-05
013-01-N2-G\ME_EOBO\2.9FFO_Jet      3.07e-06    362.9   6.85e-05
013-01-C2-G\ME_EOBO\2.9FFO_Jet      3.37e-06    362.5   7.19e-05
013-01-C2-G\LM_EOBX\7.7DFO_Jet      1.04e-08    357.0   7.19e-05
013-01-C1-G\ME_EOBO\2.9FFO_Jet      3.13e-06    356.6   7.50e-05
013-01-N1-G\LM_EOBO\14.5DFO_Jet     1.93e-07    354.6   7.52e-05
013-01-N2-G\LM_EOBO\14.5DFO_Jet     1.72e-07    349.1   7.54e-05
020-02-02-G\LM_EOBO\2.9FFO_Jet      2.34e-07    347.3   7.56e-05
013-01-N1-G\LM_EOBX\7.7DFO_Jet      1.04e-08    344.2   7.57e-05
013-01-C2-G\LM_EOBO\7.7DFO_Jet      2.07e-06    340.1   7.77e-05
013-01-N2-G\LM_EOBX\7.7DFO_Jet      9.26e-09    338.6   7.77e-05
013-01-C2-G\LM_EOBX\2.9FFO_Jet      1.07e-08    333.4   7.77e-05
013-01-N1-G\LM_EOBO\7.7DFO_Jet      2.06e-06    330.6   7.98e-05
013-01-N2-G\LM_EOBO\7.7DFO_Jet      1.84e-06    324.8   8.17e-05
013-01-N1-G\LM_EOBX\2.9FFO_Jet      1.07e-08    324.1   8.17e-05
