P04S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-02-G-DB\LM_EOBO\7.7DFO_Jet      7.75e-07    364.0   5.00e-05
024-02-G-DA\LM_EOBO\7.7DFO_Jet      2.33e-06    364.0   5.23e-05
024-03-01-G\LM_EOBX\2.9FFO_Jet      5.77e-09    361.6   5.23e-05
024-02-G-DC\LM_EOBX\2.9FFO_Jet      4.02e-09    360.6   5.23e-05
024-02-G-DB\LM_EOBX\2.9FFO_Jet      4.02e-09    360.6   5.23e-05
024-02-G-DA\LM_EOBX\2.9FFO_Jet      1.21e-08    360.6   5.23e-05
025-02-02-L\LM_EOBN\2.9FFO_Jet      1.40e-07    356.3   5.25e-05
025-02-01-G\LM_EOBO\2.9FFO_Jet      3.98e-06    352.5   5.65e-05
025-01-01-G\LM_EOBX\14.5DFO_Jet     9.60e-10    347.9   5.65e-05
024-03-01-G\LM_EOBO\2.9FFO_Jet      1.15e-06    345.8   5.76e-05
024-02-G-DC\LM_EOBO\2.9FFO_Jet      8.00e-07    345.0   5.84e-05
024-02-G-DB\LM_EOBO\2.9FFO_Jet      8.00e-07    345.0   5.92e-05
024-02-G-DA\LM_EOBO\2.9FFO_Jet      2.40e-06    345.0   6.16e-05
025-01-01-G\LM_EOBO\14.5DFO_Jet     1.91e-07    330.3   6.18e-05
025-01-01-G\LM_EOBX\7.7DFO_Jet      1.03e-08    323.3   6.18e-05
025-01-01-G\LM_EOBO\7.7DFO_Jet      2.05e-06    307.9   6.38e-05
025-01-01-G\LM_EOBX\2.9FFO_Jet      1.06e-08    307.3   6.39e-05
025-01-01-G\LM_EOBO\2.9FFO_Jet      2.11e-06    293.4   6.60e-05
025-02-02-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   6.60e-05
025-02-02-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-02-02-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   6.60e-05
025-02-02-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-02-02-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-02-02-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-02-02-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-02-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EXBN\2.9FFX_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EXBN\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\LM_EOBN\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-01-02-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   6.60e-05
025-01-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   6.60e-05
